1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2013,385,100,Clemson University,97,99,0.000392671,0.000390948
2013,388,101,Missouri University of Science and Technology,99,101,0.000387925,0.000386264
2013,390,102,West Virginia University,100,102,0.000385104,0.000383475
2013,398,103,University of South Dakota,106,104,0.000372703,0.000374214
2013,406,104,Villanova University,104,103,0.00036684,0.000367596
2013,418,105,North Dakota State University-Main Campus,105,106,0.000355585,0.00035487
2013,425,106,University of Idaho,109,107,0.000346972,0.000348332
2013,427,107,Michigan Technological University,98,105,0.000353265,0.00034809
2013,444,108,University of Maryland-Baltimore County,107,108,0.000333426,0.000332771
2013,453,109,Mississippi State University,110,109,0.0003249,0.000325526
2013,461,110,New Jersey Institute of Technology,112,111,0.000318056,0.000318655
2013,467,111,University of Akron Main Campus,113,110,0.000313385,0.00031516
2013,484,112,Old Dominion University,120,115,0.000298621,0.000301272
2013,499,113,New Mexico State University-Main Campus,117,116,0.000291168,0.000291689
2013,504,114,University of Wyoming,108,112,0.000293155,0.00029092
2013,506,115,Florida International University,115,114,0.000288173,0.000288699
2013,507,116,Binghamton University,111,113,0.000289743,0.000288661
2013,512,117,Kent State University at Kent,118,117,0.000283274,0.000283775
2013,531,118,University of Central Florida,121,122,0.000271723,0.000271262
2013,536,119,East Carolina University,116,120,0.000271554,0.00026965
2013,540,120,San Diego State University,125,121,0.000265412,0.000267194
2013,550,121,Texas Tech University,114,118,0.000265603,0.000263703
2013,553,122,University of North Texas,122,123,0.00026047,0.000260033
2013,555,123,SUNY Polytechnic Institute,119,119,0.00026087,0.00026087
2013,561,124,The University of Texas at San Antonio,124,125,0.000255898,0.000255477
2013,563,125,Miami University-Oxford,123,124,0.000255414,0.000254989
2013,589,126,Humboldt State University,127,126,0.000242542,0.000242935
2013,613,127,Oakland University,126,127,0.000233423,0.000233046
2013,630,128,Portland State University,128,128,0.000226394,0.000226394
2013,633,129,California State University-Long Beach,130,130,0.00022461,0.00022461
