,1-qid,two_realRank,two_realRank2,State,CordAscent,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,year,female_percent,international_students,world_rank,country_encoded,country_contribution,female_percent_contribution,income_contribution,international_contribution,international_students_contribution,num_students_contribution,research_contribution,student_staff_ratio_contribution,teaching_contribution,country_feature_rank,female_percent_feature_rank,income_feature_rank,international_feature_rank,international_students_feature_rank,num_students_feature_rank,research_feature_rank,student_staff_ratio_feature_rank,teaching_feature_rank
69,2011,25,25,Northwestern University,80,USA,64.5,60.5,68.8,95.3,48.97987421,75.9,18334,13.8,2011,0.48,0.15,25,70,0.009250326,-0.003832375,0.000264853,0.008380721,-0.001708925,-0.009568494,0.002460622,-0.009199853,0.053322184,4,7,10,6,9,3,8,5,1
70,2011,66,66,Ohio State University,67,USA,63.5,64,54.9,67.2,48.97987421,62.1,51462,13.4,2011,0.49,0.12,66,70,0.012758589,0.002530849,-0.000728471,0.010511823,0.001258069,0.028345233,0.005054839,-0.010449508,0.058412063,3,7,10,4,9,2,6,5,1
71,2011,130,130,Osaka University,197,Japan,61.7,20.1,63.4,40,73.4,53.4,23144,7.8,2011,0.31,0.09,130,29,-0.003258385,0.003100013,0.097968546,-0.034607473,0.000202819,-0.00028683,0.002045775,-0.018013741,0.055852042,6,7,1,3,10,9,8,5,2
72,2011,37,37,Peking University,31,China,76.4,68.6,61.3,72.2,98.6,70.7,40148,8.3,2011,0.496839882,0.14,37,9,-0.012533392,0.000662811,0.098782764,0.010716465,-5.53E-05,0.029344559,0.000943997,-0.020116253,0.05680048,5,9,1,6,10,3,8,4,2
73,2011,109,109,Pennsylvania State University,184,USA,46.3,19.9,49.2,77.6,44,56,44501,12.4,2011,0.46,0.12,109,70,0.010426359,0.002347315,0.000795739,-0.032007504,-0.001888672,0.028330066,-0.00052343,-0.008161039,0.001790549,3,5,9,1,7,2,10,4,8
74,2011,140,140,Pierre and Marie Curie University,194,France,51.9,30.7,37.2,71.5,26.4,52.2,27862,8.7,2011,0.48,0.18,140,17,-0.012667994,-0.000112892,-0.061125833,-0.032239695,-0.003024774,-0.002256036,0.000304445,-0.02180306,0.057547947,5,10,1,3,7,8,9,4,2
75,2011,28,28,Pohang University of Science and Technology,191,South Korea,69.5,32.6,62.5,96.5,100,75.1,3055,10.1,2011,0.2,0.04,28,58,0.010439245,0.002052377,0.099270301,-0.033404963,-0.000257366,-0.016722797,0.004929883,-0.019165479,0.05492618,7,9,1,3,10,5,8,4,2
76,2011,155,155,Pompeu Fabra University,135,Spain,35,44.1,33,84.7,40,51.1,10901,18.3,2011,0.59,0.13,155,59,0.010157291,-0.002445632,-0.034971527,-0.014524067,0.002466522,-0.022941881,0.002426384,-0.003893976,0.003805354,5,9,1,4,8,2,10,6,7
77,2011,5,5,Princeton University,52,USA,90.9,70.3,95.4,99.9,48.97987421,94.2,7929,8.4,2011,0.45,0.27,5,70,0.011310751,0.002063432,0.00014242,0.03592371,-0.003085809,-0.018114742,0.002271661,-0.018960097,0.057671831,6,9,10,2,7,5,8,4,1
78,2011,106,106,Purdue University,79,USA,57,62.6,67.8,43.9,48.97987421,56.2,39256,18.1,2011,0.42,0.22,106,70,0.010271727,0.007445934,-0.000950633,0.007193697,0.001861831,0.029957908,-0.000201897,-0.004020421,0.056878081,4,5,9,6,8,2,10,7,1
79,2011,121,120,Queen Mary University of London,60,UK,39.7,91,44.1,73.5,38.9,54.6,14260,14,2011,0.52,0.4,120,69,0.010018433,-0.000634289,-0.035939518,0.037832443,0.001135583,-0.006914565,-0.00252781,-0.005649211,0.001066221,3,10,2,1,8,4,6,5,9
80,2011,182,182,RWTH Aachen University,109,Germany,50,63.8,42.5,48.9,56.6,48.2,37917,27.6,2011,0.31,0.16,182,18,-0.009769574,0.002267922,0.099072472,0.008931199,0.000372863,0.028512329,0.000327352,0.029493038,0.057726344,5,8,1,6,9,4,10,3,2
81,2011,104,104,Rensselaer Polytechnic Institute,182,USA,50.5,48,54.6,64.9,48.97987421,56.4,6671,15,2011,0.3,0.16,104,70,0.007287582,0.007248186,0.001264747,-0.010710006,-0.000965806,-0.021656655,0.003571245,-0.011287443,0.055439136,5,6,9,4,10,2,8,3,1
